address;price;city;model;image;url;availability;
Postiljooninkatu 11;891 €/mes;Helsinki;Yksiö 36 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/337f4254-7865-42bf-b977-8470df6f8b35/1440x960.jpg;https://oma.avara.fi/listing/06a82334-1cb3-4701-a22a-51c50fba7b25;Immediatamente disponible;
Tarhurintie 2;870 €/mes;Vantaa;Kaksio 49 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/fd14a8b8-6f23-4a18-8f0f-872ef4beee25/1440x960.jpg;https://oma.avara.fi/listing/14a99d96-fa85-4f30-adc8-94f2e5c61e78;Immediatamente disponible;
Retkeilijänkatu 15;969 €/mes;Helsinki;Kaksio 44 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/367a6b4a-7247-4ce1-b9d3-a8d45a3f99bb/1600x1067.jpg;https://oma.avara.fi/listing/18758905-90b9-42a1-bb78-0c8396a7aa2c;Immediatamente disponible;
Koskelantie 64b;836 €/mes;Helsinki;Yksiö 26.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/b35ba90e-3ea6-4031-83a2-320f4dfd9063/1440x960.jpg;https://oma.avara.fi/listing/1a1774ad-6c8a-4e26-8a18-755918969739;Immediatamente disponible;
Kirstinmäki 6;854 €/mes;Espoo;Kaksio 43.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/c0dee78c-1861-463a-bb69-c8b15edb90bc/1440x960.jpg;https://oma.avara.fi/listing/21d3d861-22c9-4dff-a6b7-2bcaa0c5044c;Immediatamente disponible;
Kvartsiraitti 10;824 €/mes;Vantaa;Kaksio 46.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/d931a3d6-0b27-47e1-86ae-84b87eacb87d/1438x959.jpg;https://oma.avara.fi/listing/228ae1e3-c2a6-4a9a-b3b4-b58e86e4b9c8;Immediatamente disponible;
Kirstinmäki 6;873 €/mes;Espoo;Kaksio 48.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/f01f9ff5-3b87-4de2-aa65-a0c431bde7bb/1440x960.jpg;https://oma.avara.fi/listing/22d2a6e5-2983-4685-8979-fb0056ccdcb6;Immediatamente disponible;
Retkeilijänkatu 15;1361 €/mes;Helsinki;Kolmio 67.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/355d4559-3376-4411-a2d5-c86fc2e5fb95/1440x960.jpg;https://oma.avara.fi/listing/2506bc91-02d2-496a-9cd3-f9b4342525d6;Immediatamente disponible;
Agronominraitti 2;1580 €/mes;Helsinki;4 89.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/3e09828c-0b6e-4828-af3f-f07731426e7f/1440x960.jpg;https://oma.avara.fi/listing/2c1a7803-af58-4637-bfc4-efc5a338a02e;Immediatamente disponible;
Laakavuorentie 11;1270 €/mes;Helsinki;Kolmio 76.5 m²;https://s3.eu-central-1.amazonaws.com/oma-avara-prod-public/49870de6-4e65-486b-9f62-acbeb385b79a/1440x960.jpg;https://oma.avara.fi/listing/2c84d1ec-57a8-4dbd-b148-c905689d4f3f;Immediatamente disponible;
